Latitude;;Longitude;;HDG;VLC;ACCX;ACCY;ACCZ;ACP;ACW;ACR
50.0939815898;N;13.6839198987;E;87.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
50.0939815898;N;13.6839198987;E;87.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
50.0939815898;N;13.6839198987;E;87.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
50.0939815898;N;13.6839198987;E;87.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
50.0939815898;N;13.6839198987;E;87.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
50.0939815898;N;13.6839198987;E;87.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
50.0939815898;N;13.6839198987;E;87.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
50.0939815898;N;13.6839198987;E;87.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
50.0939815898;N;13.6839198987;E;87.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
50.0939815898;N;13.6839198987;E;87.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
50.0939815898;N;13.6839198987;E;87.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
50.0939815898;N;13.6839198987;E;87.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
50.0939815898;N;13.6839198987;E;87.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
50.0939815898;N;13.6839198987;E;87.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
50.0939815898;N;13.6839198987;E;87.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
50.0939815898;N;13.6839198987;E;87.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
50.0939815898;N;13.6839198987;E;87.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
50.0939697848;N;13.6839198817;E;87.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
50.0939696340;N;13.6839198920;E;87.022346;0.000000;0.015595;0.000004;-0.000059;0.000076;-0.003785;-0.000118
50.0939696329;N;13.6839198923;E;87.022606;0.000000;-0.007145;0.000005;0.000002;0.000027;0.000227;0.000039
50.0939696335;N;13.6839198923;E;87.022606;0.000000;-0.002771;0.000007;0.000001;-0.000002;0.000226;0.000010
50.0939696341;N;13.6839198923;E;87.022606;0.000000;-0.001179;0.000007;0.000000;0.000001;0.000225;0.000012
50.0939696342;N;13.6839198923;E;87.022606;0.000000;-0.001998;0.000007;0.000000;0.000001;0.000226;0.000013
50.0939696343;N;13.6839198923;E;87.022606;0.000000;-0.002118;0.000007;0.000000;0.000001;0.000226;0.000013
50.0939696343;N;13.6839198923;E;87.022606;0.000000;-0.002224;0.000007;0.000001;0.000001;0.000226;0.000013
50.0939696343;N;13.6839198923;E;87.022606;0.000000;-0.002351;0.000007;0.000001;0.000001;0.000226;0.000013
50.0939696343;N;13.6839198923;E;87.022606;0.000000;-0.000063;0.000007;0.000000;0.000001;0.000226;0.000013
